date,total_test,positive_test,percent_positive,percent_positive_7days_agg,UptDate
04/26/2020 12:00:00 AM,5731,1313,0.2291,,03/17/2021 02:14:54 PM
05/21/2021 12:00:00 AM,55820,527,0.0094,0.0115,06/13/2021 11:30:10 PM
06/27/2020 12:00:00 AM,15534,267,0.0172,,03/17/2021 02:15:11 PM
02/16/2021 12:00:00 AM,82532,5236,0.0634,0.0765,05/17/2021 11:30:15 PM
11/01/2020 12:00:00 AM,22087,620,0.0281,0.0191,03/17/2021 02:17:58 PM
05/13/2021 12:00:00 AM,51805,751,0.0145,0.017,06/12/2021 11:30:11 PM
11/05/2020 12:00:00 AM,54918,1360,0.0248,0.023,03/17/2021 02:18:00 PM
05/31/2020 12:00:00 AM,10420,395,0.0379,,03/17/2021 02:17:25 PM
03/25/2020 12:00:00 AM,8046,5094,0.6331,,03/17/2021 02:17:25 PM
03/23/2021 12:00:00 AM,80665,4191,0.052,0.0635,06/12/2021 11:30:11 PM
12/29/2020 12:00:00 AM,71110,6630,0.0932,0.0934,03/29/2021 11:30:23 PM
05/11/2020 12:00:00 AM,18284,2021,0.1105,,03/17/2021 02:15:09 PM
10/26/2020 12:00:00 AM,54172,910,0.0168,0.0182,03/17/2021 02:17:56 PM
01/03/2021 12:00:00 AM,37147,4421,0.119,0.0982,04/03/2021 11:30:20 PM
03/02/2021 12:00:00 AM,79559,4308,0.0541,0.067,05/29/2021 11:30:09 PM
04/21/2021 12:00:00 AM,71745,2176,0.0303,0.0428,06/13/2021 11:30:10 PM
05/16/2020 12:00:00 AM,9046,855,0.0945,,03/17/2021 02:17:34 PM
05/18/2021 12:00:00 AM,62397,610,0.0098,0.0135,06/14/2021 11:30:10 PM
04/01/2021 12:00:00 AM,69778,3999,0.0573,0.0681,06/12/2021 11:30:11 PM
10/23/2020 12:00:00 AM,47170,805,0.0171,0.0179,03/17/2021 02:17:56 PM
09/21/2020 12:00:00 AM,43354,655,0.0151,0.0122,03/17/2021 02:17:45 PM
09/11/2020 12:00:00 AM,36486,406,0.0111,0.0114,03/17/2021 02:17:44 PM
02/03/2021 12:00:00 AM,94376,7311,0.0775,0.0885,05/04/2021 11:30:11 PM
04/30/2021 12:00:00 AM,64489,1455,0.0226,0.0287,06/12/2021 11:30:11 PM
03/24/2021 12:00:00 AM,80518,4398,0.0546,0.0641,06/12/2021 11:30:11 PM
04/08/2021 12:00:00 AM,80540,3643,0.0452,0.0577,06/12/2021 11:30:11 PM
03/09/2020 12:00:00 AM,407,60,0.1474,,03/17/2021 02:17:29 PM
12/01/2020 12:00:00 AM,72681,3787,0.0521,0.0554,03/17/2021 04:44:59 PM
01/01/2021 12:00:00 AM,14152,1765,0.1247,0.0969,04/01/2021 11:30:32 PM
12/25/2020 12:00:00 AM,10829,1346,0.1243,0.0762,03/25/2021 11:30:25 PM
11/08/2020 12:00:00 AM,18666,928,0.0497,0.0265,03/17/2021 02:18:00 PM
03/13/2021 12:00:00 AM,32640,2894,0.0887,0.0644,06/10/2021 11:30:10 PM
07/17/2020 12:00:00 AM,30196,520,0.0172,,03/17/2021 02:17:34 PM
12/15/2020 12:00:00 AM,77479,4693,0.0606,0.0634,03/17/2021 04:46:17 PM
07/10/2020 12:00:00 AM,25377,410,0.0162,,03/17/2021 02:17:34 PM
03/14/2020 12:00:00 AM,1764,661,0.3747,,03/17/2021 02:17:33 PM
06/07/2020 12:00:00 AM,10726,329,0.0307,,03/17/2021 02:17:32 PM
09/29/2020 12:00:00 AM,42800,816,0.0191,0.0163,03/17/2021 02:17:47 PM
02/09/2021 12:00:00 AM,84378,5391,0.0639,0.0839,05/08/2021 11:30:16 PM
11/06/2020 12:00:00 AM,50090,1267,0.0253,0.0239,03/17/2021 02:17:59 PM
02/10/2021 12:00:00 AM,86883,5480,0.0631,0.0807,05/11/2021 11:30:15 PM
03/09/2021 12:00:00 AM,76748,4552,0.0593,0.067,06/05/2021 11:30:10 PM
10/21/2020 12:00:00 AM,55601,824,0.0148,0.0169,03/17/2021 02:17:55 PM
01/22/2021 12:00:00 AM,83908,6735,0.0803,0.0927,04/22/2021 11:30:19 PM
04/25/2020 12:00:00 AM,7733,1996,0.2581,,03/17/2021 02:17:31 PM
05/25/2020 12:00:00 AM,15441,784,0.0508,,03/17/2021 02:17:31 PM
04/10/2021 12:00:00 AM,33804,2484,0.0735,0.0546,06/11/2021 11:30:11 PM
02/04/2021 12:00:00 AM,88143,6770,0.0768,0.0883,05/05/2021 11:30:11 PM
06/02/2020 12:00:00 AM,29419,922,0.0313,,03/17/2021 02:17:34 PM
06/25/2020 12:00:00 AM,30854,442,0.0143,,03/17/2021 02:17:34 PM
09/09/2020 12:00:00 AM,44423,435,0.0098,0.0108,03/17/2021 02:17:42 PM
12/02/2020 12:00:00 AM,77219,3630,0.047,0.0561,03/17/2021 04:46:08 PM
08/22/2020 12:00:00 AM,15005,181,0.0121,0.0103,03/17/2021 02:17:35 PM
